team,season,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,made_playoffs
BOS,2024,120.5731707,43.91463415,90.19512195,48.76585366,16.47560976,42.46341463,38.7597561,16.26829268,20.17073171,79.58902439,10.68292683,35.64634146,46.32926829,26.91463415,11.93902439,6.792682927,6.56097561,16.17073171,11.34146341,0.780487805,0
CHA,2005,94.25609756,36.1097561,83.64634146,43.33170732,3.902439024,10.74390244,36.65853659,18.13414634,25.56097561,70.39878049,13.20731707,28.47560976,41.68292683,21.87804878,14.53658537,8.475609756,5.365853659,23.09756098,-5.987804878,0.219512195,0
CHA,2006,96.86585366,36.1097561,83.45121951,43.2402439,5.219512195,15.37804878,33.29878049,19.42682927,26.65853659,72.66707317,12.07317073,27.68292683,39.75609756,20.93902439,14.23170732,10.02439024,4.317073171,23.90243902,-4,0.317073171,0
CHA,2007,96.8902439,36.09756098,81.01219512,44.7,5.573170732,15.6097561,36.00243902,19.12195122,26.04878049,73.29878049,11.2195122,28.6097561,39.82926829,22.3902439,14.92682927,7.780487805,4.5,24.20731707,-3.743902439,0.402439024,0
CHA,2008,97.06097561,36.09756098,79.92682927,45.29634146,6.451219512,17.59756098,36.25243902,18.41463415,25.79268293,71.52317073,10.87804878,29.75609756,40.63414634,21.31707317,14.68292683,7.487804878,4.902439024,21.67073171,-4.37804878,0.390243902,0
CHA,2009,93.62195122,34.95121951,76.81707317,45.58902439,5.975609756,16.32926829,36.28780488,17.74390244,23.96341463,73.31219512,10.80487805,28.85365854,39.65853659,21.23170732,15.59756098,7.073170732,4.841463415,21.3902439,-1.268292683,0.426829268,0
CHA,2010,95.2804878,34.85365854,76.90243902,45.40487805,5.609756098,16.23170732,34.34512195,19.96341463,26.58536585,74.92560976,10.46341463,30.36585366,40.82926829,20.2195122,15.73170732,7.707317073,5.43902439,19.47560976,1.463414634,0.536585366,1
CHA,2011,93.29268293,35.03658537,77.62195122,45.21219512,4.792682927,14.67073171,31.95853659,18.42682927,24.37804878,75.52926829,10.34146341,29.80487805,40.14634146,21.07317073,14.53658537,6.390243902,5.280487805,19.96341463,-4,0.414634146,0
CHA,2012,86.95454545,33.22727273,80.1969697,41.51666667,3.984848485,13.51515152,28.77424242,16.51515152,22.15151515,74.27575758,10.25757576,28.6969697,38.95454545,20.09090909,14.5,6.015151515,5.46969697,18.92424242,-13.90909091,0.106060606,0
CHA,2013,93.42682927,34.42682927,81.08536585,42.53414634,5.719512195,17.06097561,33.38536585,18.85365854,25.12195122,75.3902439,11.18292683,29.13414634,40.31707317,19.35365854,14.06097561,7.207317073,5.841463415,19.03658537,-9.231707317,0.256097561,0
CHA,2014,96.85365854,36.29268293,82.07317073,44.34146341,6.292682927,17.93902439,34.95853659,17.97560976,24.3902439,73.88536585,9.463414634,33.2195122,42.68292683,21.68292683,12.31707317,6.085365854,5.134146341,18.20731707,-0.219512195,0.524390244,1
CHA,2015,94.15853659,35.52439024,84.53658537,42.06341463,6.073170732,19.09756098,31.29756098,17.03658537,22.76829268,74.75731707,10,34.06097561,44.06097561,20.17073171,11.90243902,6.085365854,5.463414634,18.2195122,-3.170731707,0.402439024,0
